,,,Dog,,,,,,,,,,,,,,,,Cat,,,,,,,,,,,,,,,
State,Year,Org Count,Gross Intakes,Community Intakes,Gross Outcomes,Stray at Large,Relinquished by Owner,Seized,Other Intakes,Transferred In,Adoption,Return to Owner,Return to Field,Other Live Outcomes,Transferred Out,Shelter Euthanasia,Died in Care,Lost in Care,Gross Intakes,Community Intakes,Gross Outcomes,Stray at Large,Relinquished by Owner,Seized,Other Intakes,Transferred In,Adoption,Return to Owner,Return to Field,Other Live Outcomes,Transferred Out,Shelter Euthanasia,Died in Care,Lost in Care
HI,2024,31,"13,354","11,753","13,850","7,494","3,768",115,376,"1,601","8,117","2,611",2,140,845,"2,028",98,9,"14,958","13,864","15,048","10,843","2,720",31,270,"1,094","8,525",679,"1,040",107,"1,177","3,131",340,49
HI,2025,31,"13,519","11,738","13,708","7,498","3,420",196,625,"1,780","8,133","2,498",2,421,802,"1,731",96,24,"13,947","13,044","13,947","10,548","2,173",27,297,903,"8,064",721,"1,121",105,827,"2,762",301,45
IA,2024,103,"32,142","26,261","31,098","14,586","8,706","1,222","1,747","5,881","18,225","6,835",21,349,"2,947","2,459",231,30,"38,513","35,283","37,354","21,823","10,522",662,"2,276","3,230","25,630","1,466","2,327",738,"2,681","3,201","1,254",58
IA,2025,103,"28,085","23,557","27,732","12,582","8,287","1,243","1,445","4,528","16,452","5,929",17,259,"2,590","2,242",198,45,"36,091","33,164","35,495","19,973","10,483",711,"1,997","2,927","24,772","1,322","2,282",644,"2,315","3,050","1,046",64
ID,2024,86,"26,859","22,639","26,954","12,521","6,016","2,635","1,467","4,220","14,606","6,829",21,564,"2,892","1,799",208,36,"26,312","23,951","25,663","16,051","5,898",312,"1,690","2,361","16,692","1,390","2,831",732,"1,604","1,611",752,51
ID,2025,86,"25,982","21,511","25,657","11,839","6,411","1,915","1,346","4,471","13,900","6,716",21,466,"2,720","1,590",189,57,"26,308","23,445","25,697","15,552","6,135",297,"1,461","2,863","16,844","1,687","2,614",627,"1,760","1,461",626,78
IL,2024,411,"78,765","53,680","79,377","25,516","21,019","3,138","4,007","25,085","53,104","8,654",136,870,"9,301","6,410",814,86,"82,681","64,892","82,214","33,782","23,488","1,952","5,669","17,789","59,142","1,932","3,879",792,"7,853","5,990","2,455",172
IL,2025,411,"77,587","51,352","79,715","24,069","20,543","2,631","4,109","26,235","53,446","8,670",145,956,"9,119","6,229",806,345,"86,501","67,101","88,009","34,462","25,595","1,466","5,579","19,400","64,187","2,175","4,446",891,"7,266","6,195","2,409",440
IN,2024,266,"63,674","51,761","63,222","27,945","16,208","3,144","4,463","11,913","36,821","11,381",51,"1,297","7,487","5,549",556,80,"76,494","66,841","73,824","40,101","19,513","1,502","5,726","9,653","49,254","2,137","4,916","1,353","7,416","6,098","2,545",105
IN,2025,266,"63,735","51,702","63,302","28,074","16,715","3,096","3,816","12,033","36,979","11,167",56,822,"8,068","5,452",590,168,"80,599","70,773","78,511","43,405","21,118","1,744","4,506","9,826","51,652","2,326","4,957","1,182","8,164","7,245","2,659",325
